"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Autoliv Dashboard","1","0","Login and AIB Project Selection","0"
"0","","0","Autoliv Dashboard","1","0","Dashboard Element Validation after AIB Project Load","0"
